id;Descricao;Umidade(%);Energia(kcal);Energia(kJ);Proteina(g);Lipideos(g);Colesterol(mg);Carboidratos(g);Fibra_Alimentar(g);Cinzas(g);Calcio(mg);Magnesio(mg)
163;Abacate, cru;83,8;96;402;1,2;8,4;NA;6,0;6,3;0,5;8;15
164;Abacaxi, cru;86,3;48;202;0,9;0,1;NA;12,3;1,0;0,4;22;18
165;Abacaxi, polpa, congelada;91,3;31;128;0,5;0,1;NA;7,8;0,3;0,3;14;10
166;Abiu, cru;83,1;62;261;0,8;0,7;NA;14,9;1,7;0,4;6;9
167;Açaí, polpa, com xarope de guaraná e glucose;73,9;110;461;0,7;3,7;NA;21,5;1,7;0,3;22;13
168;Açaí, polpa, congelada;88,7;58;243;0,8;3,9;NA;6,2;2,6;0,3;35;17
169;Acerola, crua;90,5;33;140;0,9;0,2;NA;8,0;1,5;0,4;13;13
170;Acerola, polpa, congelada;93,6;22;92;0,6;Tr;NA;5,5;0,7;0,3;8;9
171;Ameixa, calda, enlatada ;52,2;183;765;0,4;Tr;NA;46,9;0,5;0,5;13;10
172;Ameixa, crua;84,8;53;220;0,8;Tr;NA;13,9;2,4;0,6;6;5
173;Ameixa, em calda, enlatada, drenada ;50,3;177;742;1,0;0,3;NA;47,7;4,5;0,7;39;14
174;Atemóia, crua;72,7;97;406;1,0;0,3;NA;25,3;2,1;0,7;23;25
175;Banana, da terra, crua;63,9;128;536;1,4;0,2;NA;33,7;1,5;0,8;4;24
176;Banana, doce em barra;21,1;280;1172;2,2;0,1;NA;75,7;3,8;1,0;12;49
177;Banana, figo, crua;70,1;105;440;1,1;0,1;NA;27,8;2,8;0,8;6;30
178;Banana, maçã, crua;75,2;87;363;1,8;0,1;NA;22,3;2,6;0,6;3;24
179;Banana, nanica, crua;73,8;92;383;1,4;0,1;NA;23,8;1,9;0,8;3;28
180;Banana, ouro, crua;68,2;112;470;1,5;0,2;NA;29,3;2,0;0,8;3;28
181;Banana, pacova, crua;77,7;78;326;1,2;0,1;NA;20,3;2,0;0,7;5;30
182;Banana, prata, crua;71,9;98;411;1,3;0,1;NA;26,0;2,0;0,8;8;26
183;Cacau, cru;79,2;74;311;1,0;0,1;NA;19,4;2,2;0,3;12;25
184;Cajá-Manga, cru;86,9;46;191;1,3;Tr;NA;11,4;2,6;0,4;13;11
185;Cajá, polpa, congelada;92,4;26;110;0,6;0,2;NA;6,4;1,4;0,4;9;7
186;Caju, cru;88,1;43;180;1,0;0,3;NA;10,3;1,7;0,3;1;10
187;Caju, polpa, congelada;89,8;37;153;0,5;0,2;NA;9,4;0,8;0,2;1;7
188;Caju, suco concentrado, envasado;88,4;45;189;0,4;0,2;NA;10,7;0,6;0,3;1;8
189;Caqui, chocolate, cru;79,7;71;299;0,4;0,1;NA;19,3;6,5;0,5;18;9
190;Carambola, crua;87,1;46;191;0,9;0,2;NA;11,5;2,0;0,4;5;7
191;Ciriguela, crua;78,7;76;316;1,4;0,4;NA;18,9;3,9;0,7;27;18
192;Cupuaçu, cru;86,2;49;207;1,2;1,0;NA;10,4;3,1;1,2;13;18
193;Cupuaçu, polpa, congelada;86,6;49;204;0,8;0,6;NA;11,4;1,6;0,6;5;14
194;Figo, cru;88,2;41;173;1,0;0,2;NA;10,2;1,8;0,4;27;11
195;Figo, enlatado, em calda;48,8;184;771;0,6;0,2;NA;50,3;2,0;0,2;33;7
196;Fruta-pão, crua;80,9;67;281;1,1;0,2;NA;17,2;5,5;0,7;34;24
197;Goiaba, branca, com casca, crua;85,7;52;216;0,9;0,5;NA;12,4;6,3;0,5;5;7
198;Goiaba, doce em pasta;24,8;269;1125;0,6;0,0;NA;74,1;3,7;0,5;10;6
199;Goiaba, doce, cascão;20,3;286;1195;0,4;0,1;NA;78,7;4,4;0,5;15;10
200;Goiaba, vermelha, com casca, crua;85,0;54;227;1,1;0,4;NA;13,0;6,2;0,5;4;7
201;Graviola, crua;82,2;62;258;0,8;0,2;NA;15,8;1,9;1,0;40;23
202;Graviola, polpa, congelada;89,2;38;160;0,6;0,1;NA;9,8;1,2;0,4;6;10
203;Jabuticaba, crua;83,6;58;243;0,6;0,1;NA;15,3;2,3;0,4;8;18
204;Jaca, crua;75,1;88;368;1,4;0,3;NA;22,5;2,4;0,8;11;40
205;Jambo, cru;92,1;27;113;0,9;0,1;NA;6,5;5,1;0,5;14;14
206;Jamelão, cru;87,7;41;172;0,5;0,1;NA;10,6;1,8;1,0;3;2
207;Kiwi, cru;85,9;51;214;1,3;0,6;NA;11,5;2,7;0,7;24;11
208;Laranja, baía, crua;87,1;45;190;1,0;0,1;NA;11,5;1,1;0,4;35;9
209;Laranja, baía, suco;90,2;37;153;0,7;Tr;NA;8,7;Tr;0,4;6;8
210;Laranja, da terra, crua;85,4;51;215;1,1;0,2;NA;12,9;4,0;0,5;51;14
211;Laranja, da terra, suco;89,2;41;171;0,7;0,1;NA;9,6;1,0;0,4;13;10
212;Laranja, lima, crua;87,0;46;191;1,1;0,1;NA;11,5;1,8;0,4;31;10
213;Laranja, lima, suco;89,7;39;165;0,7;0,1;NA;9,2;0,4;0,3;8;11
214;Laranja, pêra, crua;89,6;37;154;1,0;0,1;NA;8,9;0,8;0,3;22;9
215;Laranja, pêra, suco;91,3;33;137;0,7;0,1;NA;7,6;Tr;0,3;7;8
216;Laranja, valência, crua;86,9;46;193;0,8;0,2;NA;11,7;1,7;0,4;34;14
217;Laranja, valência, suco;90,5;36;151;0,5;0,1;NA;8,6;0,4;0,3;9;10
218;Limão, cravo, suco;94,2;14;59;0,3;Tr;NA;5,2;Tr;0,2;10;9
219;Limão, galego, suco;91,8;22;93;0,6;0,1;NA;7,3;Tr;0,3;5;6
220;Limão, tahiti, cru;87,4;32;133;0,9;0,1;NA;11,1;1,2;0,4;51;10
221;Maçã, Argentina, com casca, crua;82,6;63;262;0,2;0,2;NA;16,6;2,0;0,3;3;5
222;Maçã, Fuji, com casca, crua;84,3;56;232;0,3;Tr;NA;15,2;1,3;0,2;2;2
223;Macaúba, crua;41,5;404;1692;2,1;40,7;NA;13,9;13,4;1,8;67;66
224; Mamão, doce em calda, drenado;45,5;196;819;0,2;0,1;NA;54,0;1,3;0,2;20;6
225;Mamão, Formosa, cru;86,9;45;190;0,8;0,1;NA;11,6;1,8;0,6;25;17
226;Mamão, Papaia, cru;88,6;40;168;0,5;0,1;NA;10,4;1,0;0,4;22;22
227; Mamão verde, doce em calda, drenado;41,9;209;876;0,3;0,1;NA;57,6;1,2;0,1;12;5
228;Manga, Haden, crua;82,3;64;266;0,4;0,3;NA;16,7;1,6;0,4;12;8
229;Manga, Palmer, crua;79,7;72;303;0,4;0,2;NA;19,4;1,6;0,3;12;9
230;Manga, polpa, congelada;86,5;48;202;0,4;0,2;NA;12,5;1,1;0,4;7;9
231;Manga, Tommy Atkins, crua;85,8;51;212;0,9;0,2;NA;12,8;2,1;0,3;8;7
232;Maracujá, cru;82,9;68;286;2,0;2,1;NA;12,3;1,1;0,8;5;28
233;Maracujá, polpa, congelada;88,9;39;162;0,8;0,2;NA;9,6;0,5;0,5;5;10
234;Maracujá, suco concentrado, envasado;88,9;42;176;0,8;0,2;NA;9,6;0,4;0,5;4;4
235;Melancia, crua;90,7;33;136;0,9;Tr;NA;8,1;0,1;0,3;8;10
236;Melão, cru;91,3;29;123;0,7;Tr;NA;7,5;0,3;0,5;3;6
237;Mexerica, Murcote, crua;83,7;58;241;0,9;0,1;NA;14,9;3,1;0,5;33;12
238;Mexerica, Rio, crua;89,6;37;154;0,7;0,1;NA;9,3;2,7;0,3;17;8
239;Morango, cru;91,5;30;126;0,9;0,3;NA;6,8;1,7;0,5;11;10
240;Nêspera, crua;87,8;43;178;0,3;Tr;NA;11,5;3,0;0,4;20;10
241;Pequi, cru;65,9;205;858;2,3;18,0;NA;13,0;19,0;0,8;32;30
242;Pêra, Park, crua;83,2;61;254;0,2;0,2;NA;16,1;3,0;0,3;9;6
243;Pêra, Williams, crua;85,0;53;223;0,6;0,1;NA;14,0;3,0;0,3;8;6
244;Pêssego, Aurora, cru;89,3;36;152;0,8;Tr;NA;9,3;1,4;0,5;3;4
245;Pêssego, enlatado, em calda;82,2;63;264;0,7;Tr;NA;16,9;1,0;0,2;4;4
246;Pinha, crua;75,0;88;370;1,5;0,3;NA;22,4;3,4;0,7;21;31
247;Pitanga, crua;88,3;41;173;0,9;0,2;NA;10,2;3,2;0,4;18;12
248;Pitanga, polpa, congelada;94,6;19;80;0,3;0,1;NA;4,8;0,7;0,3;8;6
249;Romã, crua;84,0;56;233;0,4;Tr;NA;15,1;0,4;0,5;5;13
250;Tamarindo, cru;22,0;276;1154;3,2;0,5;NA;72,5;6,4;1,9;37;59
251;Tangerina, Poncã, crua;89,2;38;158;0,8;0,1;NA;9,6;0,9;0,3;13;8
252;Tangerina, Poncã, suco;90,4;36;151;0,5;Tr;NA;8,8;Tr;0,3;4;6
253;Tucumã, cru;51,3;262;1096;2,1;19,1;NA;26,5;12,7;1,1;46;121
254;Umbu, cru;89,3;37;155;0,8;Tr;NA;9,4;2,0;0,5;12;11
255;Umbu, polpa, congelada;90,2;34;142;0,5;0,1;NA;8,8;1,3;0,4;11;8
256;Uva, Itália, crua;85,0;53;221;0,7;0,2;NA;13,6;0,9;0,6;7;5
257;Uva, Rubi, crua;86,1;49;205;0,6;0,2;NA;12,7;0,9;0,5;8;6
258;Uva, suco concentrado, envasado;85,1;58;241;Tr;Tr;NA;14,7;0,2;0,2;9;7
